 # Resultados apartado 1:
  0.564750003815E+01  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.658875036240E+01  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.753000020981E+01  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.847125053406E+01  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.941250038147E+01  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.103537502289E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.112950000763E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.122362499237E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.131775007248E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.141187505722E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.150600004196E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.160012512207E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.169425010681E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.178837509155E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.188250007629E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.197662506104E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.207075004578E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
